,Date,username,screen_name,user_location,user_friends_count,verified?,user_bio,followers_count,Tweet,likes,retweets,source,tweet_id,tweet_coordinates,hashtags
0,2020-12-21 22:49:34,the Arsenal-Ultra,Slick_726,,350,False,A 'Johan Cruyff disciple'. A lover of the beautiful side of the beautiful game. A no-nonsense gooner! We take no prisoners! #AFC #ArtetaOut,571,"The manager #AFC The way he talks. He's either a puppet or just downright clueless. Either way, we need him out man… https://t.co/0XPwMyITgG",0,0,Twitter for Android,1341153870869917702,,"[{'text': 'AFC', 'indices': [12, 16]}]"
1,2020-12-21 22:36:13,Oladunjoye oluyinka,Dr_Oluyinka,Ogun state,517,False,Medical doctor and whenever I wanna increase my heart rate I support Arsenal Fc and Real Madrid,304,@dr_dayo @Plancks @ESPNFC At first I taut it was some pundits that drops those stat in espn until I saw the news co… https://t.co/rECZn3gJOa,1,0,Twitter for iPhone,1341150509110087682,,[]
2,2020-12-21 22:22:44,shahrirbahar,shahrirbahar1,"Petaling Jaya, Selangor",431,False,Digital Media Strategist & Consultant. I help brand & physical retailer build digital presence. Gooners since Ian Wright era. Forever Gergasi Merah Kuning!,647,@ayshardzn Please go Mikel. #ArtetaOut,0,0,Twitter for iPhone,1341147117784498176,,"[{'text': 'ArtetaOut', 'indices': [28, 38]}]"
3,2020-12-21 22:09:23,The Finishing Touch,finishingt0uch,"London, England",78,False,Property Refurbishment,13,"RT @ashraf9368: WELL DONE @m8arteta 👏🏻🤝
@AFTVMedia @Arsenal @Arsenal_MY 

#ArtetaOut https://t.co/AWdMAKH5J0",0,2,Twitter for iPhone,1341143754674237441,,"[{'text': 'ArtetaOut', 'indices': [74, 84]}]"
4,2020-12-21 22:06:39,Indian Sports Fan,IndianSportFan,All Sport - India Plays,55199,False,"Official handle. Respect  sportsmen. Our reverence is reserved for Fans, who make Indian wins, worthwhile. Sare Jahan Se Accha-Sports FAN Hamara! #ISF",73205,"A) Chelsea Rampage West Ham: 3-0; 
#Silva drew the first blood &amp; then Tammy #Abraham like #secondwave slammed 2 in… https://t.co/byjEMq6Vye",1,0,Twitter for Android,1341143069886881793,,"[{'text': 'Silva', 'indices': [35, 41]}, {'text': 'Abraham', 'indices': [80, 88]}, {'text': 'secondwave', 'indices': [94, 105]}]"
5,2020-12-21 22:04:06,❄️Kate Kringle ❄️,katenapps,she/her,363,False,Hi! Gamer/Trader/Artist/RHTC,229,"RT @AyumiLeElfx: Christmas Art raffle!
(only doing this to practice on my style and Bc it’s Christmasss)
Follow
Retweet!
Comment oc
Ends On…",0,13,Twitter for iPhone,1341142426971381761,,[]
6,2020-12-21 22:03:25,kacchan’s wifey 😻,StarGazer_El,idk you tell me ,433,False,Welcome to my Page! • 13+ • She/Her or They/Them • ///Proofs at @Ellie_proofs •,418,"RT @AyumiLeElfx: Christmas Art raffle!
(only doing this to practice on my style and Bc it’s Christmasss)
Follow
Retweet!
Comment oc
Ends On…",0,13,Twitter for iPhone,1341142255785152518,,[]
7,2020-12-21 22:03:16,Heather ꒰🎄꒱ pink + Christmas era,AnqelHeather,🍪 cst 🍪 🥛 yes but no 🥛,419,False,"☏ ring...
 
┈hi!
꒰🎅🏻꒱
꒰❄️꒱
➳I’m Heather! ୨୧
➵150+ angels
❝sad-?❞
meh-",159,"RT @AyumiLeElfx: Christmas Art raffle!
(only doing this to practice on my style and Bc it’s Christmasss)
Follow
Retweet!
Comment oc
Ends On…",0,13,Twitter Web App,1341142217503731714,,[]
8,2020-12-21 22:00:07,❄️Vinny (ROBLOX/ROYALE HIGH ADOPTABLE PINNED)❄️,UnicornAteMyHW,Royale High,240,False,"❄️Vinny/Unicorn | She/Her/They/Them | 🇹🇭🇺🇸 | 16 | ♎ | Pansexual ❤💛💙 | Artist | RHTC❄️
❄️Please do not QRT my art❄️

Main Acc (16+): @UngodlyUnicorn",165,"RT @AyumiLeElfx: Christmas Art raffle!
(only doing this to practice on my style and Bc it’s Christmasss)
Follow
Retweet!
Comment oc
Ends On…",0,13,Twitter for iPhone,1341141423815585793,,[]
9,2020-12-21 21:58:21,Rakesh,Rak464,"Aizawl, India",1252,False,"Engineer, Connecting Mizoram, FPL",137,"RT @BeyondThePosts_: Left Or Centre: The Aubameyang Conundrum That Needs To Be Answered For Arsenal Fans 

https://t.co/uHK4AJjOfy via @Bey…",0,1,Twitter for iPhone,1341140978602631168,,[]
